,open time,close,Success/Fail,Earning Rate (%)
Start,2021-01-06 09:00:00,38370000.0
End,2021-01-11 01:00:00,41970000.0,Failed,9.33
Start,2021-01-13 21:00:00,38471000.0
End,2021-01-16 13:00:00,40467000.0,Failed,5.140000000000001
Start,2021-01-19 13:00:00,40433000.0
End,2021-01-20 09:00:00,38501000.0,Failed,-4.83
Start,2021-01-24 05:00:00,35493000.0
End,2021-01-25 05:00:00,35539000.0,Failed,0.07999999999999999
Start,2021-01-25 17:00:00,36475000.0
End,2021-01-27 17:00:00,34541000.0,Failed,-5.35
Start,2021-01-29 05:00:00,36624000.0
End,2021-02-11 17:00:00,49375000.0,Failed,34.77
Start,2021-02-01 21:00:00,36411000.0
End,2021-02-11 17:00:00,49375000.0,Failed,35.55
Start,2021-02-11 21:00:00,51348000.0
End,2021-02-22 17:00:00,61400000.0,Failed,19.53
Start,2021-02-25 21:00:00,57699000.0
End,2021-02-26 13:00:00,52026000.0,Failed,-9.879999999999999
Start,2021-03-01 21:00:00,55380000.0
End,2021-03-05 09:00:00,55300000.0,Failed,-0.19
Start,2021-03-07 13:00:00,57298000.0
End,2021-03-15 13:00:00,66101000.0,Failed,15.309999999999999
Start,2021-03-18 01:00:00,67119000.0
End,2021-03-20 13:00:00,68822000.0,Failed,2.4899999999999998
Start,2021-03-21 13:00:00,67031000.0
End,2021-03-21 21:00:00,67199000.0,Failed,0.2
Start,2021-03-25 05:00:00,64777000.0
End,2021-03-25 21:00:00,62673000.0,Failed,-3.3000000000000003
Start,2021-03-27 17:00:00,65544000.0
End,2021-04-04 05:00:00,72187000.0,Failed,10.09
Start,2021-04-05 13:00:00,75014000.0
End,2021-04-07 13:00:00,74390000.0,Failed,-0.88
Start,2021-04-10 05:00:00,76066000.0
End,2021-04-12 21:00:00,78470000.0,Failed,3.1100000000000003
Start,2021-04-13 17:00:00,81200000.0
End,2021-04-16 01:00:00,79400000.0,Failed,-2.27
Start,2021-04-25 17:00:00,60869000.0
End,2021-04-29 13:00:00,64070000.0,Failed,5.21
Start,2021-04-30 21:00:00,67700000.0
End,2021-05-05 01:00:00,67360000.0,Failed,-0.5499999999999999
Start,2021-05-06 17:00:00,70127000.0
End,2021-05-07 21:00:00,68142000.0,Failed,-2.88
Start,2021-05-08 17:00:00,70278000.0
End,2021-05-11 09:00:00,69552000.0,Failed,-1.08
Start,2021-05-21 21:00:00,47712000.0
End,2021-05-22 09:00:00,46296000.0,Failed,-3.02
Start,2021-05-25 09:00:00,46645000.0
End,2021-05-27 13:00:00,46330000.0,Failed,-0.7299999999999999
Start,2021-05-27 21:00:00,47433000.0
End,2021-05-28 09:00:00,46019000.0,Failed,-3.0300000000000002
Start,2021-06-01 01:00:00,43480000.0
End,2021-06-03 05:00:00,43732000.0,Failed,0.5299999999999999
Start,2021-06-03 13:00:00,44878000.0
End,2021-06-04 21:00:00,43600000.0,Failed,-2.9000000000000004
Start,2021-06-09 21:00:00,41828000.0
End,2021-06-12 13:00:00,41281000.0,Failed,-1.36
Start,2021-06-14 05:00:00,44746000.0
End,2021-06-17 01:00:00,45494000.0,Failed,1.6199999999999999
Start,2021-06-24 01:00:00,38513000.0
End,2021-06-26 01:00:00,37864000.0,Failed,-1.7399999999999998
Start,2021-06-28 05:00:00,39985000.0
End,2021-07-01 13:00:00,39055000.0,Failed,-2.3800000000000003
Start,2021-07-03 21:00:00,40210000.0
End,2021-07-05 21:00:00,39297000.0,Failed,-2.3200000000000003
Start,2021-07-07 21:00:00,40278000.0
End,2021-07-08 13:00:00,38417000.0,Failed,-4.67
Start,2021-07-10 17:00:00,39925000.0
End,2021-07-13 01:00:00,39001000.0,Failed,-2.36
Start,2021-07-18 09:00:00,37793000.0
End,2021-07-19 21:00:00,36652000.0,Failed,-3.0700000000000003
Start,2021-07-22 01:00:00,37300000.0
End,2021-07-30 17:00:00,44700000.0,Failed,19.79
Start,2021-07-31 05:00:00,48555000.0
End,2021-08-02 13:00:00,46339000.0,Failed,-4.61
Start,2021-08-06 01:00:00,46994000.0
End,2021-08-12 13:00:00,52621000.0,Failed,11.92
Start,2021-08-13 13:00:00,53433000.0
End,2021-08-16 09:00:00,55072000.0,Failed,3.02
Start,2021-08-16 21:00:00,53987000.0
End,2021-08-17 09:00:00,54331000.0,Failed,0.5900000000000001
Start,2021-08-20 01:00:00,54663000.0
End,2021-08-24 21:00:00,56790000.0,Failed,3.84
Start,2021-08-28 05:00:00,57401000.0
End,2021-08-30 09:00:00,56532000.0,Failed,-1.56
First Seed Money,Last Seed Money,Total Earning Rate(%),Winning Rate(%)
1,2.6388439369925085,119.25999999999999,45.23809523809524
